period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,549,3304,4079160,6935,18,19523,24513,3118,697423,1888,206992,4152,0.01
1,6106,14054,4256409,11009,18,19523,24513,4754,714827,1888,206992,4152,0.00
2,6106,16676,5243738,11751,18,19523,24513,5975,726052,1888,206992,4152,0.00
3,25025,19265,6179051,70536,18,19523,24513,7552,774250,1888,206992,4152,2.02
4,126600,22065,6907843,296987,18,19523,24513,9088,981201,1888,206992,4152,14.32
5,130436,25062,7868571,414205,18,19523,24513,10860,1014828,1888,206992,4152,0.95
6,226970,28302,8585096,749703,18,19523,24513,12346,1234199,1888,206992,4152,15.17
7,228460,35868,9561182,855309,18,19523,24513,14124,1258757,1888,206992,4152,0.17
8,335970,46295,10262093,1183075,18,19523,24513,15554,1492432,1888,206992,4152,16.17
9,383344,49535,11740931,1308759,18,19523,24513,16839,1594134,1888,206992,4152,6.44
10,458843,52238,11910345,1496426,18,19523,24513,18649,1759764,1888,206992,4152,10.96
11,463304,55371,12869505,1513832,18,19523,24513,20719,1794390,1888,206992,4152,0.97
12,549829,58749,13631755,1685838,18,19523,24513,22108,1972350,1888,206992,4152,12.20
13,599497,61368,15205400,1789745,18,19523,24513,23795,2085273,1888,206992,4152,7.29
14,650484,64362,16089539,1892380,18,19523,24513,25248,2195544,1888,206992,4152,7.05
15,725389,67107,16128233,2052120,18,19523,24513,26830,2362662,1888,206992,4152,11.29
16,776009,70577,17792521,2159004,18,19523,24513,28331,2477673,1888,206992,4152,7.19
17,829414,73366,17822059,2273842,18,19523,24513,29954,2601850,1888,206992,4152,8.09
18,908847,76484,18595108,2440136,18,19523,24513,31461,2775964,1888,206992,4152,11.78
19,923150,79863,20439996,2471924,18,19523,24513,33068,2819148,1888,206992,4152,1.84
20,1006888,82447,20303851,2645977,18,19523,24513,34586,3001333,1888,206992,4152,12.36
21,1019867,85650,21247774,2673643,18,19523,24513,36404,3044687,1888,206992,4152,1.75
22,1134565,88059,21936014,2909237,18,19523,24513,37737,3280241,1888,206992,4152,16.69
23,1187940,91621,23820614,3016332,18,19523,24513,39257,3398139,1888,206992,4152,7.40
24,1232645,94410,24713114,3112687,18,19523,24513,41100,3507630,1888,206992,4152,6.73
25,1302888,97268,24447301,3259063,18,19523,24513,42511,3665936,1888,206992,4152,10.34
26,1368203,100422,26386391,3392622,18,19523,24513,44058,3809773,1888,206992,4152,9.45
27,1425333,103344,26094005,3513667,18,19523,24513,45616,3939062,1888,206992,4152,8.34
28,1484523,106488,26920755,3636259,18,19523,24513,47287,4070288,1888,206992,4152,8.62
29,1535135,109635,27769180,3742895,18,19523,24513,48911,4189138,1888,206992,4152,7.55
30,1595396,112777,28596819,3866243,18,19523,24513,50498,4322415,1888,206992,4152,8.63
31,1646913,115904,29442158,3974851,18,19523,24513,52165,4443683,1888,206992,4152,7.55
32,1706221,119042,30266338,4099559,18,19523,24513,53861,4576971,1888,206992,4152,8.63
33,1766185,122185,31094210,4223573,18,19523,24513,55747,4711491,1888,206992,4152,8.63
34,1826808,125324,31925045,4346631,18,19523,24513,57158,4841550,1888,206992,4152,8.63
35,1877601,128456,32768992,4454022,18,19523,24513,59067,4961290,1888,206992,4152,7.55
36,1935854,131607,33598498,4578044,18,19523,24513,60730,5095441,1888,206992,4152,8.63
37,1995468,135115,34427421,4701728,18,19523,24513,62406,5229733,1888,206992,4152,8.57
38,2049459,137969,35268474,4815761,18,19523,24513,63980,5354296,1888,206992,4152,8.15
39,2097923,140336,36125562,4919081,18,19523,24513,65699,5468062,1888,206992,4152,6.99
40,2156769,142963,36959906,5042887,18,19523,24513,67255,5602783,1888,206992,4152,8.33
41,2219736,146481,37782263,5173620,18,19523,24513,68796,5742730,1888,206992,4152,9.19
42,2276766,149344,38621551,5289205,18,19523,24513,70265,5864440,1888,206992,4152,8.06
43,2334258,152841,39454795,5410188,18,19523,24513,71954,5995239,1888,206992,4152,8.44
44,2388462,155933,40300333,5520439,18,19523,24513,73612,6116693,1888,206992,4152,7.74
45,2447122,159071,41128293,5643875,18,19523,24513,75129,6249497,1888,206992,4152,8.63
46,2498867,162197,41973650,5753964,18,19523,24513,76509,6368204,1888,206992,4152,7.55
47,2556683,165350,42802883,5877747,18,19523,24513,78110,6501000,1888,206992,4152,8.63
48,2612107,168489,43638313,5995147,18,19523,24513,79742,6628502,1888,206992,4152,8.31
49,2668584,171623,44475167,6108385,18,19523,24513,81539,6753476,1888,206992,4152,7.87
50,2728174,174767,45305115,6232118,18,19523,24513,82953,6885554,1888,206992,4152,8.63
51,2788190,177907,46132830,6355544,18,19523,24513,84486,7019166,1888,206992,4152,8.63
52,2839752,181038,46983094,6463564,18,19523,24513,86187,7138115,1888,206992,4152,7.55
53,2899677,184181,47809205,6586686,18,19523,24513,87617,7271276,1888,206992,4152,8.63
54,2960021,187316,48636551,6710297,18,19523,24513,89241,7405706,1888,206992,4152,8.63
55,3019160,190458,49464325,6833108,18,19523,24513,90933,7540163,1888,206992,4152,8.63
56,3070424,193594,50310238,6941884,18,19523,24513,92457,7660002,1888,206992,4152,7.55
57,3124125,196719,51149318,7054943,18,19523,24513,94085,7782391,1888,206992,4152,7.88
58,3186944,200081,54055664,7189643,18,19523,24513,95593,7921604,1888,206992,4152,9.25
59,3239972,203126,52818700,7300612,18,19523,24513,97296,8044825,1888,206992,4152,7.58
60,3293967,206261,53671120,7406676,18,19523,24513,98796,8160423,1888,206992,4152,7.55
61,3353542,208945,54497924,7530433,18,19523,24513,100450,8294234,1888,206992,4152,8.63
62,3413604,212088,55326386,7652985,18,19523,24513,101854,8426245,1888,206992,4152,8.62
63,3472308,215229,58382034,7775316,18,19523,24513,103454,8561824,1888,206992,4152,8.63
64,3527294,218036,56988204,7891241,18,19523,24513,105171,8688682,1888,206992,4152,7.95
65,3585933,221155,57824636,8008983,18,19523,24513,106549,8814106,1888,206992,4152,8.22
66,3637588,224104,58672523,8117969,18,19523,24513,107911,8930947,1888,206992,4152,7.55
67,3697928,227193,59494513,8244666,18,19523,24513,109575,9068131,1888,206992,4152,8.81
68,3754334,229775,60333835,8362065,18,19523,24513,111168,9195374,1888,206992,4152,8.26
69,3811333,232733,61175739,8476436,18,19523,24513,112756,9319030,1888,206992,4152,8.08
70,3845834,235881,62064799,8552228,18,19523,24513,114190,9403931,1888,206992,4152,5.07
71,3927800,238880,62835479,8720390,18,19523,24513,115638,9577554,1888,206992,4152,11.82
72,3987965,242092,63660638,8844604,18,19523,24513,117265,9713253,1888,206992,4152,8.63
73,4041551,245221,64502438,8954833,18,19523,24513,118997,9835657,1888,206992,4152,7.72
74,4094333,248109,65343019,9066272,18,19523,24513,120520,9957646,1888,206992,4152,7.84
75,4150118,250542,66181785,9183879,18,19523,24513,121930,10083347,1888,206992,4152,8.15
76,4209176,253589,67011669,9306448,18,19523,24513,123784,10216522,1888,206992,4152,8.62
77,4264053,256740,67847847,9420045,18,19523,24513,125459,10343324,1888,206992,4152,7.97
78,4326925,259701,68660384,9551907,18,19523,24513,127002,10485731,1888,206992,4152,9.28
79,4378763,262827,69499183,9663607,18,19523,24513,128686,10609379,1888,206992,4152,7.81
80,4437208,265420,70334117,9782241,18,19523,24513,130386,10737130,1888,206992,4152,8.33
81,4487552,268545,71183047,9890841,18,19523,24513,132038,10856534,1888,206992,4152,7.55
82,4547032,271685,72003797,10016936,18,19523,24513,133635,10994203,1888,206992,4152,8.98
83,4605216,274150,72836024,10136847,18,19523,24513,135220,11122837,1888,206992,4152,8.27
84,4663329,277127,73664006,10260900,18,19523,24513,136927,11257042,1888,206992,4152,8.63
85,4712945,280270,74514325,10365255,18,19523,24513,138330,11370309,1888,206992,4152,7.17
86,4775957,283300,75336061,10493976,18,19523,24513,139761,11507682,1888,206992,4152,9.00
87,4826754,286422,76182633,10601057,18,19523,24513,141489,11627782,1888,206992,4152,7.55
88,4884253,289571,77010520,10721802,18,19523,24513,143180,11760885,1888,206992,4152,8.39
89,4942118,292747,77841768,10838479,18,19523,24513,144858,11887659,1888,206992,4152,8.20
90,4997732,295459,78677784,10954584,18,19523,24513,146259,12013965,1888,206992,4152,8.21
91,5057797,298594,79503126,11077903,18,19523,24513,147941,12148334,1888,206992,4152,8.63
92,5116593,301729,80328812,11200784,18,19523,24513,149560,12283483,1888,206992,4152,8.63
93,5167653,304850,81175116,11307881,18,19523,24513,151055,12401950,1888,206992,4152,7.54
94,5228369,307888,81999898,11433050,18,19523,24513,152623,12535934,1888,206992,4152,8.64
95,5287257,311021,82827620,11555750,18,19523,24513,154012,12666707,1888,206992,4152,8.63
96,5338520,314315,83675717,11663792,18,19523,24513,155653,12783765,1888,206992,4152,7.55
97,5394996,317569,84510929,11782293,18,19523,24513,157373,12913184,1888,206992,4152,8.20
98,5457020,320927,85333176,11910717,18,19523,24513,158889,13052429,1888,206992,4152,9.05
99,5511284,324253,89538653,12022908,18,19523,24513,160588,13176953,1888,206992,4152,7.89
100,5567186,327013,87009462,12142095,18,19523,24513,162356,13306733,1888,206992,4152,8.28
101,5616234,330308,87868177,12241511,18,19523,24513,163938,13416587,1888,206992,4152,7.03
102,5678724,333364,88683083,12372619,18,19523,24513,165479,13558828,1888,206992,4152,9.37
103,5735028,335884,89516072,12491922,18,19523,24513,167131,13689311,1888,206992,4152,8.12
104,5796620,338475,90338819,12620096,18,19523,24513,168692,13828756,1888,206992,4152,8.91
105,5845984,341786,91190918,12723842,18,19523,24513,170224,13942672,1888,206992,4152,7.44
106,5906428,344220,92012494,12852913,18,19523,24513,171965,14081722,1888,206992,4152,8.72
107,5966210,347519,92836453,12976655,18,19523,24513,173617,14217457,1888,206992,4152,8.63
108,6018675,350822,93683173,13084117,18,19523,24513,175251,14335353,1888,206992,4152,7.55
109,6070152,354135,94529301,13193986,18,19523,24513,176629,14453441,1888,206992,4152,7.63
110,6136250,357450,95339666,13331236,18,19523,24513,178056,14599667,1888,206992,4152,9.62
111,6187629,360751,96186898,13439648,18,19523,24513,179808,14718497,1888,206992,4152,7.55
112,6246601,364062,97012647,13564246,18,19523,24513,181393,14853029,1888,206992,4152,8.63
113,6303702,367695,97845774,13681932,18,19523,24513,182901,14979742,1888,206992,4152,8.36
114,6358760,370801,98690523,13796165,18,19523,24513,184503,15101879,1888,206992,4152,7.75
115,6411787,374114,99542665,13904194,18,19523,24513,185894,15216042,1888,206992,4152,7.55
116,6470727,377422,100368970,14027630,18,19523,24513,187535,15352527,1888,206992,4152,8.63
117,6523642,380728,101209806,14138994,18,19523,24513,188980,15474656,1888,206992,4152,7.84
118,6587637,384029,102022722,14272775,18,19523,24513,190522,15618300,1888,206992,4152,9.41
119,6640102,387699,102863574,14385160,18,19523,24513,192152,15742817,1888,206992,4152,7.88
120,6697749,390478,103696964,14503729,18,19523,24513,193716,15872250,1888,206992,4152,8.29
121,6746254,393779,104547793,14609581,18,19523,24513,195489,15988259,1888,206992,4152,7.30
122,6809353,397079,105370707,14736196,18,19523,24513,196963,16123085,1888,206992,4152,8.87
123,6865176,400487,110302083,14854258,18,19523,24513,198546,16252515,1888,206992,4152,8.35
124,6929264,403610,107029126,14985859,18,19523,24513,200322,16390439,1888,206992,4152,8.90
125,6979144,407305,107883366,15091207,18,19523,24513,201826,16504368,1888,206992,4152,7.30
126,7038788,410079,108708793,15217192,18,19523,24513,203479,16641374,1888,206992,4152,8.87
127,7096708,413378,109532179,15339714,18,19523,24513,205246,16777107,1888,206992,4152,8.63
128,7149113,416672,110376930,15449029,18,19523,24513,206981,16897328,1888,206992,4152,7.55
129,7201414,419996,111221222,15557758,18,19523,24513,208444,17016397,1888,206992,4152,7.59
130,7259957,422999,112049559,15681464,18,19523,24513,210158,17150833,1888,206992,4152,8.58
131,7318406,426307,112880028,15805586,18,19523,24513,211553,17282121,1888,206992,4152,8.63
132,7377290,429611,113704124,15929675,18,19523,24513,213186,17417164,1888,206992,4152,8.63
