period,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
1,342,350,113874,4338309,7601,18,36523,24552,3581,703381,1881,206992,4152,0.01
2,5130,11715,113874,4510874,10974,18,36523,24552,4869,718008,1881,206992,4152,0.00
3,132887,14478,113874,5207702,243961,18,36523,24552,6082,950975,1881,206992,4152,16.27
4,257303,17300,113874,6794611,452160,18,36523,24552,7384,1187434,1881,206992,4152,16.60
5,374891,19821,113874,6606838,713509,18,36523,24552,8640,1421543,1881,206992,4152,16.32
6,492710,22667,113874,7304048,998087,18,36523,24552,9849,1652955,1881,206992,4152,16.48
7,612693,25783,113874,8000369,1263332,18,36523,24552,10877,1885260,1881,206992,4152,16.68
8,728392,28737,113874,8693155,1549971,18,36523,24552,12097,2118647,1881,206992,4152,16.57
9,848753,31301,113874,9386295,1814996,18,36523,24552,13299,2354908,1881,206992,4152,16.45
10,970599,33992,113874,10085673,2081054,18,36523,24552,14591,2587551,1881,206992,4152,16.63
11,1094189,45220,113874,10798298,2383725,18,36523,24552,15992,2833306,1881,206992,4152,17.24
12,1214702,47980,113874,11497838,2646767,18,36523,24552,17303,3065527,1881,206992,4152,16.43
13,1336316,51096,113874,12955915,2940695,18,36523,24552,18887,3298438,1881,206992,4152,16.50
14,1469930,54068,113874,12848266,3217122,18,36523,24552,20361,3532200,1881,206992,4152,16.42
15,1610617,56847,113874,13539597,3527238,18,36523,24552,21633,3769830,1881,206992,4152,16.71
16,1737961,60048,113874,14229922,3794520,18,36523,24552,23011,3995568,1881,206992,4152,16.13
17,1876508,63139,113874,15622821,4077559,18,36523,24552,24516,4236886,1881,206992,4152,17.00
18,2012774,70429,113874,16314757,4389647,18,36523,24552,25887,4482904,1881,206992,4152,17.02
19,2130727,73479,113874,16288147,4652595,18,36523,24552,27198,4714152,1881,206992,4152,16.46
20,2248115,76617,113874,16989142,4940362,18,36523,24552,28470,4946885,1881,206992,4152,16.31
21,2365487,79095,113874,18375259,5202701,18,36523,24552,29799,5178889,1881,206992,4152,16.44
22,2482762,82122,113874,19054185,5490036,18,36523,24552,31131,5408600,1881,206992,4152,16.37
