period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,600,4597,116055,3444389,7701,18,36535,24122,3532,704382,1888,206992,4152,0.01
1,6098,15024,116055,4434361,10780,18,36535,24122,5095,719994,1888,206992,4152,0.00
2,131421,17638,116055,5126269,254991,18,36535,24122,6346,952618,1888,206992,4152,16.43
3,263131,20563,116055,5804179,480736,18,36535,24122,7852,1186984,1888,206992,4152,16.72
4,391753,23692,116055,6495251,785773,18,36535,24122,9077,1429529,1888,206992,4152,16.44
5,519493,26816,116055,7178089,1063306,18,36535,24122,10530,1665402,1888,206992,4152,16.51
6,645376,29638,116055,8669506,1372709,18,36535,24122,11960,1903080,1888,206992,4152,16.55
7,773715,32610,116055,8561199,1679156,18,36535,24122,13215,2137275,1888,206992,4152,16.56
8,899160,35543,116055,9251802,1955973,18,36535,24122,14591,2371445,1888,206992,4152,16.44
9,1023446,39060,116055,10646437,2259962,18,36535,24122,15972,2606254,1888,206992,4152,16.63
10,1143969,41479,116055,10629209,2554664,18,36535,24122,17316,2838310,1888,206992,4152,16.30
11,1261546,43982,116055,11329220,2814988,18,36535,24122,18715,3054862,1888,206992,4152,15.30
12,1276771,47193,116055,12897616,2930650,18,36535,24122,20455,3107516,1888,206992,4152,2.17
13,1414850,50325,116055,12923177,3254705,18,36535,24122,21851,3364056,1888,206992,4152,18.08
14,1550289,53414,116055,14183532,3547511,18,36535,24122,23239,3617448,1888,206992,4152,18.04
15,1679891,56172,116055,14238627,3866435,18,36535,24122,24519,3878084,1888,206992,4152,18.39
16,1806779,59535,116055,14895445,4181663,18,36535,24122,25955,4134764,1888,206992,4152,18.28
17,1921777,62619,116055,16177715,4445066,18,36535,24122,27189,4360630,1888,206992,4152,15.97
18,2053193,65657,116055,16260627,4754031,18,36535,24122,28676,4599247,1888,206992,4152,17.00
19,2177797,69156,116055,17495973,5056631,18,36535,24122,30226,4833125,1888,206992,4152,16.39
20,2307619,76478,116055,17602011,5332784,18,36535,24122,31590,5062039,1888,206992,4152,16.13
21,2420806,79525,116055,18309052,5612423,18,36535,24122,33128,5269837,1888,206992,4152,14.57
22,2557395,87301,116055,19542678,5919978,18,36535,24122,34713,5515423,1888,206992,4152,17.05
23,2687560,95150,116055,19670725,6206302,18,36535,24122,36030,5744251,1888,206992,4152,16.55
24,2825854,97872,116055,20332126,6528903,18,36535,24122,37414,5994197,1888,206992,4152,17.72
25,2967376,105526,116055,20981113,6850994,18,36535,24122,38862,6251298,1888,206992,4152,17.98
26,3092288,113506,116055,22192588,7132498,18,36535,24122,40246,6490538,1888,206992,4152,16.79
27,3227106,116849,116055,22834552,7452156,18,36535,24122,41594,6742801,1888,206992,4152,18.03
28,3370540,124381,116055,22982074,7763959,18,36535,24122,43039,6996488,1888,206992,4152,17.67
29,3516545,135065,116055,23645303,8079144,18,36535,24122,44533,7249335,1888,206992,4152,18.17
30,3646283,138212,116055,24313075,8390827,18,36535,24122,45946,7494133,1888,206992,4152,17.16
31,3764903,141080,116055,25004510,8683129,18,36535,24122,47253,7719537,1888,206992,4152,15.94
32,3902987,144704,116055,25678101,8977095,18,36535,24122,48648,7969447,1888,206992,4152,17.48
33,3981941,148062,116055,26462106,9203202,18,36535,24122,50416,8133167,1888,206992,4152,10.72
34,4111768,155706,116055,27112970,9509733,18,36535,24122,51873,8393096,1888,206992,4152,18.42
35,4256563,166361,116055,27772027,9831562,18,36535,24122,53209,8652475,1888,206992,4152,18.71
36,4384024,168766,116055,28841774,10138111,18,36535,24122,54658,8890976,1888,206992,4152,16.59
37,4510366,173756,116055,29492488,10448697,18,36535,24122,55984,9137081,1888,206992,4152,17.43
38,4641177,179984,116055,29792054,10736902,18,36535,24122,57279,9388527,1888,206992,4152,17.91
39,4773888,182813,116055,30436097,11061485,18,36535,24122,58677,9650017,1888,206992,4152,18.78
40,4907067,190696,116055,31104471,11375910,18,36535,24122,60230,9899135,1888,206992,4152,17.17
41,5028746,197541,116055,31795486,11654944,18,36535,24122,61573,10129719,1888,206992,4152,16.30
42,5153174,200968,116055,32818759,11959131,18,36535,24122,63050,10366375,1888,206992,4152,16.70
43,5284964,204178,116055,33460858,12271994,18,36535,24122,64673,10610686,1888,206992,4152,16.98
44,5415644,210521,116055,33837668,12553408,18,36535,24122,66103,10850491,1888,206992,4152,16.72
